RunID,BatchID,Model,Temp,Batch_Size,Run_Time,Max_Tok,Prompt_Stem,Dialog,N_shots,C_1,C_2,C_3,C_4,C_5,C_6,Holistic Acc,Avg hit Conf,Std Dev Conf,Precision,Recall,F1,Notes
31a1f458-50da-48e0-a34d-6cbc32ecdd25,f15dc28f-87dd-4142-9376-3a1cc465daca,gpt-3.5-turbo,0.1,10,62,Undefined,API_PT_Revised.txt,suicide,25,0.7,0.7,NA,NA,NA,NA,0.7,0.7285714285714285,0.178999486944881,0.666,0.666,0.666,NA
88c5eed6-ac02-42f0-9bdc-e66291d79c57,2db9b43b-eb87-47da-91b1-3d38a8eb1ad9,gpt-3.5-turbo,0.1,10,65,Undefined,API_PT_Revised.txt,suicide,0,0.7,0.9,NA,NA,NA,NA,0.8,0.59375,0.24358969087381346,1.0,0.428,0.6,NA
b0110855-8b4b-4ecb-817a-965f6ebdf388,c10bf08c-9d59-48cd-b5b1-7b7272076285,gpt-3.5-turbo,0.1,10,62,Undefined,API_PT_Revised.txt,suicide,0,0.6,0.8,NA,NA,NA,NA,0.7,0.7142857142857143,0.18844151368961312,1.0,0.25,0.4,NA
6cb55dbc-4238-46df-9a82-a39b57085e4f,c10bf08c-9d59-48cd-b5b1-7b7272076285,gpt-3.5-turbo,0.1,10,54,Undefined,API_PT_Revised.txt,suicide,5,0.8,0.8,NA,NA,NA,NA,0.8,0.725,0.12990381056766584,0.75,0.75,0.75,NA
9fe3bd70-5138-477f-8c89-6375ff227d5f,c10bf08c-9d59-48cd-b5b1-7b7272076285,gpt-3.5-turbo,0.1,10,53,Undefined,API_PT_Revised.txt,suicide,10,0.8,0.8,NA,NA,NA,NA,0.8,0.70625,0.11439378261076956,0.75,0.75,0.75,NA
fa42bd89-6bf1-41ff-9a61-59018c28358e,c10bf08c-9d59-48cd-b5b1-7b7272076285,gpt-3.5-turbo,0.1,10,53,Undefined,API_PT_Revised.txt,suicide,15,1.0,0.8,NA,NA,NA,NA,0.9,0.7555555555555556,0.1212079123848413,1.0,0.75,0.857,NA
3cc6fea5-89e8-46eb-96ea-a1c70c5a6367,c10bf08c-9d59-48cd-b5b1-7b7272076285,gpt-3.5-turbo,0.1,10,49,Undefined,API_PT_Revised.txt,suicide,20,0.9,0.7,NA,NA,NA,NA,0.8,0.74375,0.11709371246996998,0.833,0.625,0.714,NA
82af7b73-ce55-4d77-bb20-0eccbce68c5f,c10bf08c-9d59-48cd-b5b1-7b7272076285,gpt-3.5-turbo,0.1,10,48,Undefined,API_PT_Revised.txt,suicide,25,0.9,0.8,NA,NA,NA,NA,0.8500000000000001,0.7470588235294118,0.1333621652794663,0.857,0.75,0.799,NA
f8b29c3f-0d6e-415e-a11e-e8292c778952,ee17f507-987a-488f-9209-ca897d8e40de,gpt-3.5-turbo,0.1,10,68,Undefined,API_PT_Revised.txt,suicide,0,0.5,0.9,NA,NA,NA,NA,0.7,0.65,0.29215944766025087,0.0,0.0,0.0,NA
011c005d-106e-465a-9015-02ae02603ef0,230a76f8-db3d-4b5a-a12f-26fd524998dc,gpt-3.5-turbo,0.1,10,56,Undefined,API_PT_Revised.txt,suicide,0,0.4,0.9,NA,NA,NA,NA,0.65,0.7153846153846154,0.14058205294228512,0.0,0.0,0.0,NA
6be838aa-3ca3-436d-992a-26c5b357c97a,230a76f8-db3d-4b5a-a12f-26fd524998dc,gpt-3.5-turbo,0.1,10,50,Undefined,API_PT_Revised.txt,suicide,5,0.4,0.9,NA,NA,NA,NA,0.65,0.8307692307692309,0.08213137116947164,0.5,0.142,0.222,NA
46a748e4-0277-49d0-bd1d-2e88e99539b8,230a76f8-db3d-4b5a-a12f-26fd524998dc,gpt-3.5-turbo,0.1,10,50,Undefined,API_PT_Revised.txt,suicide,10,0.6,1.0,NA,NA,NA,NA,0.8,0.825,0.09682458365518543,1.0,0.428,0.6,NA
692279e2-ce15-4d69-99a6-1fd0fcdb8e72,230a76f8-db3d-4b5a-a12f-26fd524998dc,gpt-3.5-turbo,0.1,10,52,Undefined,API_PT_Revised.txt,suicide,15,0.4,0.9,NA,NA,NA,NA,0.65,0.8000000000000002,0.16641005886756877,0.5,0.142,0.222,NA
354fc5df-7041-4b1e-8fc4-846f5c669e7d,230a76f8-db3d-4b5a-a12f-26fd524998dc,gpt-3.5-turbo,0.1,10,57,Undefined,API_PT_Revised.txt,suicide,20,0.6,0.9,NA,NA,NA,NA,0.75,0.7533333333333335,0.16275407487644938,1.0,0.285,0.444,NA
9fbc3980-4f0c-4865-8a0e-2aec8bc87b48,230a76f8-db3d-4b5a-a12f-26fd524998dc,gpt-3.5-turbo,0.1,10,49,Undefined,API_PT_Revised.txt,suicide,25,0.6,0.9,NA,NA,NA,NA,0.75,0.7533333333333334,0.18208667044996887,1.0,0.285,0.444,NA
97810491-8b2e-41d1-9934-2e15e79427ae,f2ff8538-28b9-4cc1-99bf-36ec80fbe44a,gpt-3.5-turbo,0.1,10,56,Undefined,API_PT_Revised.txt,suicide,0,0.6,0.8,NA,NA,NA,NA,0.7,0.5285714285714286,0.30805512361211185,1.0,0.25,0.4,NA
2079d2ba-fac5-4d89-973d-24c830575134,f2ff8538-28b9-4cc1-99bf-36ec80fbe44a,gpt-3.5-turbo,0.1,10,390,Undefined,API_PT_Revised.txt,suicide,5,0.8,0.8,NA,NA,NA,NA,0.8,0.7875000000000001,0.14947825928876748,1.0,0.5,0.666,NA
f855166e-6d72-47f7-ab9a-1c2f60af6859,f2ff8538-28b9-4cc1-99bf-36ec80fbe44a,gpt-3.5-turbo,0.1,10,52,Undefined,API_PT_Revised.txt,suicide,10,0.7,0.9,NA,NA,NA,NA,0.8,0.8125,0.09921567416492216,0.833,0.625,0.714,NA
